[INFO] 2024-04-15 10:21:28,291 autoreload: Watching for file changes with StatReloader
[DEBUG] 2024-04-15 10:21:28,294 autoreload: Waiting for apps ready_event.
[DEBUG] 2024-04-15 10:21:28,387 autoreload: Apps ready_event triggered. Sending autoreload_started signal.
[DEBUG] 2024-04-15 10:21:28,408 autoreload: Watching dir /venv/lib/python3.11/site-packages/jazzmin/templates with glob **/*.
[DEBUG] 2024-04-15 10:21:28,409 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
[DEBUG] 2024-04-15 10:21:28,409 autoreload: Watching dir /app/core/templates with glob **/*.
[DEBUG] 2024-04-15 10:21:28,411 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_spectacular/templates with glob **/*.
[DEBUG] 2024-04-15 10:21:28,412 autoreload: Watching dir /app/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,412 autoreload: Watching dir /venv/lib/python3.11/site-packages/modeltranslation/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,413 autoreload: Watching dir /venv/lib/python3.11/site-packages/jazzmin/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,413 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,413 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,414 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,414 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_spectacular/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,414 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_standardized_errors/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,415 autoreload: Watching dir /venv/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,415 autoreload: Watching dir /app/core/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,416 autoreload: Watching dir /app/users/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,416 autoreload: Watching dir /app/workflow/locale with glob **/*.mo.
[DEBUG] 2024-04-15 10:21:28,651 autoreload: File /venv/lib/python3.11/site-packages/django/db/backends/postgresql/introspection.py first seen with mtime 1713121066.1550708
[DEBUG] 2024-04-15 10:21:28,651 autoreload: File /venv/lib/python3.11/site-packages/urllib3/util/retry.py first seen with mtime 1713121064.5950058
[DEBUG] 2024-04-15 10:21:28,651 autoreload: File /venv/lib/python3.11/site-packages/django/core/management/sql.py first seen with mtime 1713121066.1450703
[DEBUG] 2024-04-15 10:21:28,653 autoreload: File /app/core/utilities/env.py first seen with mtime 1678807449.0
[DEBUG] 2024-04-15 10:21:28,654 autoreload: File /venv/lib/python3.11/site-packages/django/template/response.py first seen with mtime 1713121066.2050729
[DEBUG] 2024-04-15 10:21:28,655 autoreload: File /usr/local/lib/python3.11/netrc.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,655 autoreload: File /venv/lib/python3.11/site-packages/django/utils/tree.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,656 autoreload: File /usr/local/lib/python3.11/importlib/__init__.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,656 autoreload: File /usr/local/lib/python3.11/contextlib.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,656 autoreload: File /usr/local/lib/python3.11/xml/etree/ElementTree.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,656 autoreload: File /venv/lib/python3.11/site-packages/corsheaders/__init__.py first seen with mtime 1713121067.9644778
[DEBUG] 2024-04-15 10:21:28,657 autoreload: File /venv/lib/python3.11/site-packages/drf_spectacular/apps.py first seen with mtime 1713121068.1444786
[DEBUG] 2024-04-15 10:21:28,657 autoreload: File /venv/lib/python3.11/site-packages/chardet/eucjpprober.py first seen with mtime 1713121064.4750009
[DEBUG] 2024-04-15 10:21:28,657 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/auth/context_processors.py first seen with mtime 1713121065.65505
[DEBUG] 2024-04-15 10:21:28,658 autoreload: File /usr/local/lib/python3.11/http/cookiejar.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,658 autoreload: File /venv/lib/python3.11/site-packages/drf_spectacular/contrib/django_oauth_toolkit.py first seen with mtime 1713121068.1544785
[DEBUG] 2024-04-15 10:21:28,658 autoreload: File /usr/local/lib/python3.11/unittest/loader.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,659 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/postgres/utils.py first seen with mtime 1713121065.9350617
[DEBUG] 2024-04-15 10:21:28,659 autoreload: File /venv/lib/python3.11/site-packages/yaml/parser.py first seen with mtime 1713121064.7950141
[DEBUG] 2024-04-15 10:21:28,659 autoreload: File /venv/lib/python3.11/site-packages/django/forms/fields.py first seen with mtime 1713121066.1750717
[DEBUG] 2024-04-15 10:21:28,660 autoreload: File /usr/local/lib/python3.11/asyncio/queues.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,660 autoreload: File /venv/lib/python3.11/site-packages/django/db/models/sql/where.py first seen with mtime 1713121066.1750717
[DEBUG] 2024-04-15 10:21:28,661 autoreload: File /venv/lib/python3.11/site-packages/rest_framework_simplejwt/views.py first seen with mtime 1713121068.1044784
[DEBUG] 2024-04-15 10:21:28,661 autoreload: File /venv/lib/python3.11/site-packages/django/utils/datastructures.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,661 autoreload: File /usr/local/lib/python3.11/lib-dynload/fcntl.cpython-311-x86_64-linux-musl.so first seen with mtime 1712191301.0
[DEBUG] 2024-04-15 10:21:28,662 autoreload: File /usr/local/lib/python3.11/xml/dom/__init__.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,662 autoreload: File /venv/lib/python3.11/site-packages/rest_framework/utils/urls.py first seen with mtime 1713121067.6844766
[DEBUG] 2024-04-15 10:21:28,662 autoreload: File /venv/lib/python3.11/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1713121066.1750717
[DEBUG] 2024-04-15 10:21:28,662 autoreload: File /venv/lib/python3.11/site-packages/httpx/_utils.py first seen with mtime 1713121067.574476
[DEBUG] 2024-04-15 10:21:28,663 autoreload: File /venv/lib/python3.11/site-packages/django/middleware/cache.py first seen with mtime 1713121066.1950724
[DEBUG] 2024-04-15 10:21:28,663 autoreload: File /usr/local/lib/python3.11/lib-dynload/_blake2.cpython-311-x86_64-linux-musl.so first seen with mtime 1712191311.0
[DEBUG] 2024-04-15 10:21:28,663 autoreload: File /usr/local/lib/python3.11/lib-dynload/zlib.cpython-311-x86_64-linux-musl.so first seen with mtime 1712191311.0
[DEBUG] 2024-04-15 10:21:28,664 autoreload: File /venv/lib/python3.11/site-packages/h11/_version.py first seen with mtime 1713121064.4249988
[DEBUG] 2024-04-15 10:21:28,664 autoreload: File /venv/lib/python3.11/site-packages/django/dispatch/__init__.py first seen with mtime 1713121066.1750717
[DEBUG] 2024-04-15 10:21:28,664 autoreload: File /venv/lib/python3.11/site-packages/requests/__init__.py first seen with mtime 1713121065.2150316
[DEBUG] 2024-04-15 10:21:28,665 autoreload: File /venv/lib/python3.11/site-packages/django/views/generic/__init__.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,665 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/sessions/backends/base.py first seen with mtime 1713121066.035066
[DEBUG] 2024-04-15 10:21:28,665 autoreload: File /venv/lib/python3.11/site-packages/django/views/debug.py first seen with mtime 1713121066.2150733
[DEBUG] 2024-04-15 10:21:28,666 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/postgres/forms/__init__.py first seen with mtime 1713121065.9450622
[DEBUG] 2024-04-15 10:21:28,666 autoreload: File /venv/lib/python3.11/site-packages/django/template/utils.py first seen with mtime 1713121066.2050729
