[WARNING] 2024-04-17 09:11:45,645 basehttp: "GET / HTTP/1.1" 404 2763
[WARNING] 2024-04-17 09:11:46,750 basehttp: "GET /favicon.ico HTTP/1.1" 404 2814
[INFO] 2024-04-17 09:12:01,310 basehttp: "GET /admin HTTP/1.1" 301 0
[INFO] 2024-04-17 09:12:01,465 basehttp: "GET /admin/ HTTP/1.1" 302 0
[INFO] 2024-04-17 09:12:01,660 basehttp: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3062
[INFO] 2024-04-17 09:12:02,050 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
[INFO] 2024-04-17 09:12:02,162 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 200 44244
[INFO] 2024-04-17 09:12:02,213 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 200 16969
[INFO] 2024-04-17 09:12:02,312 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 200 2637
[INFO] 2024-04-17 09:12:02,341 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[INFO] 2024-04-17 09:12:02,348 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 62440
[INFO] 2024-04-17 09:12:02,411 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 200 44244
[INFO] 2024-04-17 09:12:02,518 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
[INFO] 2024-04-17 09:12:02,921 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 200 1382975
[INFO] 2024-04-17 09:12:03,089 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 62440
[INFO] 2024-04-17 09:12:03,188 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[ERROR] 2024-04-17 09:12:34,334 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 500 231083
[WARNING] 2024-04-17 09:43:39,221 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 403 2505
[WARNING] 2024-04-17 09:43:40,131 basehttp: "GET /favicon.ico HTTP/1.1" 404 2814
[INFO] 2024-04-17 09:43:44,551 basehttp: "GET /admin/login/ HTTP/1.1" 200 3049
[INFO] 2024-04-17 09:43:44,845 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:44,863 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:44,901 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:44,906 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:44,922 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:44,925 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:45,007 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:45,208 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:45,314 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:45,370 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 09:43:45,382 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[ERROR] 2024-04-17 09:44:05,402 basehttp: "POST /admin/login/ HTTP/1.1" 500 230506
[INFO] 2024-04-17 09:45:11,474 basehttp: "GET /admin/login/ HTTP/1.1" 200 3049
[INFO] 2024-04-17 09:45:21,273 basehttp: "POST /admin/login/ HTTP/1.1" 200 3372
[INFO] 2024-04-17 09:45:32,870 basehttp: "POST /admin/login/ HTTP/1.1" 200 3372
[INFO] 2024-04-17 09:45:49,609 basehttp: "POST /admin/login/ HTTP/1.1" 302 0
[WARNING] 2024-04-17 09:45:49,641 basehttp: "GET /accounts/profile/ HTTP/1.1" 404 2832
[WARNING] 2024-04-17 10:01:37,427 basehttp: "GET / HTTP/1.1" 404 2763
[INFO] 2024-04-17 10:01:42,087 basehttp: "GET /admin/ HTTP/1.1" 200 15355
[INFO] 2024-04-17 10:01:42,501 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,667 basehttp: "GET /static/vendor/adminlte/css/adminlte.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,822 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,863 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,937 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,969 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,970 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 10:01:42,994 basehttp: "GET /static/jazzmin/js/main.js HTTP/1.1" 200 2391
[INFO] 2024-04-17 10:01:43,609 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13276
